humanID,opponent,turn,condition,cooperation
hqlisgcl,ppo,6,human,2
hqlisgcl,ppo,7,human,1
hqlisgcl,ppo,8,human,1
hqlisgcl,ppo,9,human,2
hqlisgcl,ppo,0,human,2
hqlisgcl,ppo,1,human,2
hqlisgcl,ppo,2,human,2
hqlisgcl,ppo,3,human,2
hqlisgcl,ppo,4,human,2
hqlisgcl,ppo,5,human,2
hqlisgcl,ppo,6,human,1
hqlisgcl,ppo,7,human,2
hqlisgcl,ppo,8,human,1
hqlisgcl,ppo,9,human,2
uxkltrki,ppo,0,human,1
uxkltrki,ppo,1,human,1
uxkltrki,ppo,2,human,2
uxkltrki,ppo,3,human,1
uxkltrki,ppo,4,human,2
uxkltrki,ppo,5,human,2
uxkltrki,ppo,6,human,2
uxkltrki,ppo,7,human,2
uxkltrki,ppo,8,human,2
uxkltrki,ppo,9,human,1
uxkltrki,ppo,0,human,1
uxkltrki,ppo,1,human,2
uxkltrki,ppo,2,human,2
uxkltrki,ppo,3,human,2
uxkltrki,ppo,4,human,2
uxkltrki,ppo,5,human,2
uxkltrki,ppo,6,human,2
uxkltrki,ppo,7,human,2
uxkltrki,ppo,8,human,1
uxkltrki,ppo,9,human,2
uxkltrki,ppo,0,human,2
