humanID,opponent,condition,game,human_attack_freq_A,AI_attack_freq_A,human_peace_freq_A,AI_peace_freq_A,human_attack_freq_B,AI_attack_freq_B,human_peace_freq_B,AI_peace_freq_B,human_attack_freq_C,AI_attack_freq_C,human_peace_freq_C,AI_peace_freq_C,mutual_attack_A,human_victory_A,AI_victory_A,mutual_peace_A,mutual_attack_B,human_victory_B,AI_victory_B,mutual_peace_B,mutual_attack_C,human_victory_C,AI_victory_C,mutual_peace_C,human_attack_cum,AI_attack_cum,human_peace_cum,AI_peace_cum,human_attack_average,AI_attack_average,human_peace_average,AI_peace_average,mutual_attack_cum,human_victory_cum,AI_victory_cum,mutual_peace_cum,mutual_attack_average,human_victory_average,AI_victory_average,mutual_peace_average
tmmfxk,vpg,ai,hawkdove,0,0,10,10,1,1,9,9,0,0,10,10,0,0,6,4,0,1,5,4,0,0,8,2,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,0,1,19,10,0.0,0.3333333333333333,6.333333333333333,3.3333333333333335
kojlsaus,dqn,ai,hawkdove,5,5,5,5,0,0,10,10,1,1,9,9,0,5,0,5,0,0,0,10,0,1,0,9,6,6,24,24,2.0,2.0,8.0,8.0,0,6,0,24,0.0,2.0,0.0,8.0
bbzdkavc,ppo,ai,hawkdove,1,1,9,9,1,1,9,9,0,0,10,10,1,0,7,2,1,0,4,5,0,0,5,5,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,2,0,16,12,0.6666666666666666,0.0,5.333333333333333,4.0
lgopgxqc,dqn,ai,hawkdove,2,2,8,8,0,0,10,10,3,3,7,7,0,2,0,8,0,0,0,10,0,3,0,7,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0,5,0,25,0.0,1.6666666666666667,0.0,8.333333333333334
iyctkhud,dqn,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,30,30,0.0,0.0,10.0,10.0,0,0,0,30,0.0,0.0,0.0,10.0
hlpqezen,dqn,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,30,30,0.0,0.0,10.0,10.0,0,0,0,30,0.0,0.0,0.0,10.0
xpcutqih,ppo,ai,hawkdove,1,1,9,9,2,2,8,8,0,0,10,10,0,1,6,3,0,2,3,5,0,0,4,6,3,3,27,27,1.0,1.0,9.0,9.0,0,3,13,14,0.0,1.0,4.333333333333333,4.666666666666667
jetkme,vpg,ai,hawkdove,3,3,7,7,0,0,10,10,0,0,10,10,1,2,5,2,0,0,4,6,0,0,6,4,3,3,27,27,1.0,1.0,9.0,9.0,1,2,15,12,0.3333333333333333,0.6666666666666666,5.0,4.0
ludotwxp,ppo,human,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,1,0,4,5,0,0,6,4,0,0,4,6,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,1,0,14,15,0.3333333333333333,0.0,4.666666666666667,5.0
fuxlyiv,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,3,7,0,0,8,2,0,0,30,30,0.0,0.0,10.0,10.0,0,0,16,14,0.0,0.0,5.333333333333333,4.666666666666667
pcutmwjo,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,4,6,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,13,17,0.0,0.0,4.333333333333333,5.666666666666667
khmnpxag,vpg,ai,hawkdove,4,4,6,6,4,4,6,6,3,3,7,7,3,1,3,3,3,1,4,2,2,1,2,5,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,8,3,9,10,2.6666666666666665,1.0,3.0,3.3333333333333335
klovn,vpg,ai,hawkdove,3,3,7,7,2,2,8,8,0,0,10,10,1,2,3,4,1,1,3,5,0,0,7,3,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,2,3,13,12,0.6666666666666666,1.0,4.333333333333333,4.0
wbdu,vpg,ai,hawkdove,7,7,3,3,1,1,9,9,0,0,10,10,2,5,1,2,0,1,3,6,0,0,2,8,8,8,22,22,2.6666666666666665,2.6666666666666665,7.333333333333333,7.333333333333333,2,6,6,16,0.6666666666666666,2.0,2.0,5.333333333333333
vqrouphv,dqn,ai,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,0,1,0,9,0,0,0,10,0,0,0,10,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,0,1,0,29,0.0,0.3333333333333333,0.0,9.666666666666666
gomjxmgu,dqn,ai,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,15,15,15,15,5.0,5.0,5.0,5.0,0,15,0,15,0.0,5.0,0.0,5.0
tttwfd,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,2,8,0,0,6,4,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,13,17,0.0,0.0,4.333333333333333,5.666666666666667
vyfgot,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,3,7,0,0,5,5,0,0,3,7,0,0,30,30,0.0,0.0,10.0,10.0,0,0,11,19,0.0,0.0,3.6666666666666665,6.333333333333333
prjavpdl,ppo,human,hawkdove,5,5,5,5,1,1,9,9,0,0,10,10,0,5,3,2,1,0,4,5,0,0,3,7,6,6,24,24,2.0,2.0,8.0,8.0,1,5,10,14,0.3333333333333333,1.6666666666666667,3.3333333333333335,4.666666666666667
bbiu,dqn,ai,hawkdove,2,2,8,8,0,0,10,10,1,1,9,9,0,2,0,8,0,0,0,10,0,1,0,9,3,3,27,27,1.0,1.0,9.0,9.0,0,3,0,27,0.0,1.0,0.0,9.0
tnzcbr,ppo,ai,hawkdove,6,6,4,4,0,0,10,10,2,2,8,8,1,5,3,1,0,0,9,1,2,0,1,7,8,8,22,22,2.6666666666666665,2.6666666666666665,7.333333333333333,7.333333333333333,3,5,13,9,1.0,1.6666666666666667,4.333333333333333,3.0
ewgefus,ppo,ai,hawkdove,2,2,8,8,2,2,8,8,2,2,8,8,2,0,4,4,2,0,4,4,1,1,5,3,6,6,24,24,2.0,2.0,8.0,8.0,5,1,13,11,1.6666666666666667,0.3333333333333333,4.333333333333333,3.6666666666666665
ueinmndb,ppo,ai,hawkdove,5,5,5,5,6,6,4,4,8,8,2,2,3,2,4,1,5,1,2,2,4,4,1,1,19,19,11,11,6.333333333333333,6.333333333333333,3.6666666666666665,3.6666666666666665,12,7,7,4,4.0,2.3333333333333335,2.3333333333333335,1.3333333333333333
rjksjykb,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,6,4,0,0,4,6,0,0,30,30,0,0,10.0,10.0,0.0,0.0,14,16,0,0,4.666666666666667,5.333333333333333,0.0,0.0
dvifssyd,dqn,ai,hawkdove,5,5,5,5,5,5,5,5,4,4,6,6,0,5,0,5,0,5,0,5,0,4,0,6,14,14,16,16,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,0,14,0,16,0.0,4.666666666666667,0.0,5.333333333333333
qvxyokpa,dqn,ai,hawkdove,8,8,2,2,5,5,5,5,6,6,4,4,0,8,0,2,0,5,0,5,0,6,0,4,19,19,11,11,6.333333333333333,6.333333333333333,3.6666666666666665,3.6666666666666665,0,19,0,11,0.0,6.333333333333333,0.0,3.6666666666666665
pbljqdsf,dqn,ai,hawkdove,5,5,5,5,4,4,6,6,9,9,1,1,0,5,0,5,0,4,0,6,0,9,0,1,18,18,12,12,6.0,6.0,4.0,4.0,0,18,0,12,0.0,6.0,0.0,4.0
bslvdme,vpg,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,7,3,0,0,5,5,0,0,30,30,0,0,10.0,10.0,0.0,0.0,18,12,0,0,6.0,4.0,0.0,0.0
juywwdcv,ppo,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,5,5,0,0,7,3,0,0,30,30,0,0,10.0,10.0,0.0,0.0,18,12,0,0,6.0,4.0,0.0,0.0
jjpqnwee,dqn,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,30,30,0,0,10.0,10.0,0.0,0.0,0,30,0,0,0.0,10.0,0.0,0.0
ejeuiclo,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,5,5,0,0,7,3,0,0,30,30,0.0,0.0,10.0,10.0,0,0,16,14,0.0,0.0,5.333333333333333,4.666666666666667
svkvte,vpg,ai,hawkdove,5,5,5,5,5,5,5,5,3,3,7,7,2,3,0,5,2,3,3,2,1,2,1,6,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,5,8,4,13,1.6666666666666667,2.6666666666666665,1.3333333333333333,4.333333333333333
efpoyizt,ppo,ai,hawkdove,3,3,7,7,5,5,5,5,5,5,5,5,2,1,5,2,4,1,3,2,2,3,5,0,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,8,5,13,4,2.6666666666666665,1.6666666666666667,4.333333333333333,1.3333333333333333
etequjcz,dqn,ai,hawkdove,0,0,10,10,10,10,0,0,1,1,9,9,0,0,0,10,0,10,0,0,0,1,0,9,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,0,11,0,19,0.0,3.6666666666666665,0.0,6.333333333333333
tstpvqfr,ppo,ai,hawkdove,1,1,9,9,1,1,9,9,1,1,9,9,1,0,5,4,1,0,3,6,1,0,5,4,3,3,27,27,1.0,1.0,9.0,9.0,3,0,13,14,1.0,0.0,4.333333333333333,4.666666666666667
grgfald,ppo,ai,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,2,4,1,4,1,1,4,4,1,15,15,15,15,5.0,5.0,5.0,5.0,7,8,11,4,2.3333333333333335,2.6666666666666665,3.6666666666666665,1.3333333333333333
aimdcbpv,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,2,8,0,0,5,5,0,0,30,30,0,0,10.0,10.0,0.0,0.0,12,18,0,0,4.0,6.0,0.0,0.0
mhfdzhuo,vpg,ai,hawkdove,6,6,4,4,3,3,7,7,2,2,8,8,4,2,2,2,1,2,4,3,2,0,6,2,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,7,4,12,7,2.3333333333333335,1.3333333333333333,4.0,2.3333333333333335
nteedmmf,vpg,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,8,2,0,0,5,5,0,0,30,30,0,0,10.0,10.0,0.0,0.0,18,12,0,0,6.0,4.0,0.0,0.0
wnxtgctu,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
jqll,dqn,ai,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,15,15,15,15,5.0,5.0,5.0,5.0,0,15,0,15,0.0,5.0,0.0,5.0
lrjlzbml,ppo,ai,hawkdove,2,2,8,8,1,1,9,9,1,1,9,9,1,1,4,4,0,1,6,3,1,0,5,4,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,2,2,15,11,0.6666666666666666,0.6666666666666666,5.0,3.6666666666666665
hozjklva,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,6,4,0,0,5,5,0,0,30,30,0,0,10.0,10.0,0.0,0.0,15,15,0,0,5.0,5.0,0.0,0.0
amifpci,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
mojfyggi,vpg,ai,hawkdove,1,1,9,9,1,1,9,9,1,1,9,9,0,1,5,4,0,1,2,7,0,1,5,4,3,3,27,27,1.0,1.0,9.0,9.0,0,3,12,15,0.0,1.0,4.0,5.0
hdzvcobj,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,5,5,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,16,14,0.0,0.0,5.333333333333333,4.666666666666667
iyauuypd,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,4,6,0,0,6,4,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
pnzdgrne,ppo,human,hawkdove,1,1,9,9,1,1,9,9,1,1,9,9,1,0,7,2,1,0,5,4,0,1,4,5,3,3,27,27,1.0,1.0,9.0,9.0,2,1,16,11,0.6666666666666666,0.3333333333333333,5.333333333333333,3.6666666666666665
orfktdnz,vpg,ai,hawkdove,2,2,8,8,0,0,10,10,1,1,9,9,0,2,4,4,0,0,5,5,0,1,6,3,3,3,27,27,1.0,1.0,9.0,9.0,0,3,15,12,0.0,1.0,5.0,4.0
pzvbcojk,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
arddydju,vpg,ai,hawkdove,8,8,2,2,1,1,9,9,0,0,10,10,4,4,0,2,1,0,1,8,0,0,4,6,9,9,21,21,3.0,3.0,7.0,7.0,5,4,5,16,1.6666666666666667,1.3333333333333333,1.6666666666666667,5.333333333333333
squglwli,ppo,human,hawkdove,7,7,3,3,8,8,2,2,8,8,2,2,4,3,3,0,2,6,2,0,3,5,1,1,23,23,7,7,7.666666666666667,7.666666666666667,2.3333333333333335,2.3333333333333335,9,14,6,1,3.0,4.666666666666667,2.0,0.3333333333333333
jikofilg,ppo,human,hawkdove,4,4,6,6,4,4,6,6,3,3,7,7,3,1,1,5,2,2,3,3,2,1,2,5,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,7,4,6,13,2.3333333333333335,1.3333333333333333,2.0,4.333333333333333
lyeeqvs,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
jbfxcncz,dqn,ai,hawkdove,9,9,1,1,9,9,1,1,10,10,0,0,0,9,0,1,0,9,0,1,0,10,0,0,28,28,2,2,9.333333333333334,9.333333333333334,0.6666666666666666,0.6666666666666666,0,28,0,2,0.0,9.333333333333334,0.0,0.6666666666666666
wfpmh,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,4,4,6,6,0,0,6,4,0,0,3,7,2,2,5,1,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,2,2,14,12,0.6666666666666666,0.6666666666666666,4.666666666666667,4.0
evlcsyfk,vpg,ai,hawkdove,8,8,2,2,5,5,5,5,6,6,4,4,5,3,1,1,4,1,2,3,4,2,1,3,19,19,11,11,6.333333333333333,6.333333333333333,3.6666666666666665,3.6666666666666665,13,6,4,7,4.333333333333333,2.0,1.3333333333333333,2.3333333333333335
qwcmjxmm,vpg,ai,hawkdove,4,4,6,6,7,7,3,3,2,2,8,8,1,3,1,5,5,2,2,1,2,0,7,1,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,8,5,10,7,2.6666666666666665,1.6666666666666667,3.3333333333333335,2.3333333333333335
gqupxnto,ppo,human,hawkdove,9,9,1,1,0,0,10,10,0,0,10,10,4,5,0,1,0,0,7,3,0,0,6,4,9,9,21,21,3.0,3.0,7.0,7.0,4,5,13,8,1.3333333333333333,1.6666666666666667,4.333333333333333,2.6666666666666665
lucdsdfz,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
eymqufrt,ppo,ai,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,3,3,2,2,3,2,3,3,2,15,15,15,15,5.0,5.0,5.0,5.0,7,8,7,8,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665
mpleofeo,ppo,human,hawkdove,10,10,0,0,9,9,1,1,6,6,4,4,3,7,0,0,2,7,1,0,3,3,3,1,25,25,5,5,8.333333333333334,8.333333333333334,1.6666666666666667,1.6666666666666667,8,17,4,1,2.6666666666666665,5.666666666666667,1.3333333333333333,0.3333333333333333
fyzopmnf,vpg,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,2,8,0,0,3,7,0,0,30,30,0,0,10.0,10.0,0.0,0.0,9,21,0,0,3.0,7.0,0.0,0.0
yqjjaxau,ppo,ai,hawkdove,7,7,3,3,3,3,7,7,1,1,9,9,5,2,2,1,2,1,2,5,0,1,7,2,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,7,4,11,8,2.3333333333333335,1.3333333333333333,3.6666666666666665,2.6666666666666665
glgmlgao,ppo,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,6,4,0,0,6,4,0,0,30,30,0,0,10.0,10.0,0.0,0.0,17,13,0,0,5.666666666666667,4.333333333333333,0.0,0.0
ubxnitdf,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,7,3,0,0,4,6,0,0,30,30,0,0,10.0,10.0,0.0,0.0,17,13,0,0,5.666666666666667,4.333333333333333,0.0,0.0
uvvotqxe,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
plxucml,ppo,human,hawkdove,8,8,2,2,4,4,6,6,3,3,7,7,4,4,1,1,1,3,3,3,3,0,2,5,15,15,15,15,5.0,5.0,5.0,5.0,8,7,6,9,2.6666666666666665,2.3333333333333335,2.0,3.0
hzpqhcj,vpg,ai,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,2,1,4,2,3,2,3,1,4,15,15,15,15,5.0,5.0,5.0,5.0,5,10,6,9,1.6666666666666667,3.3333333333333335,2.0,3.0
bssgywmx,dqn,ai,hawkdove,2,2,8,8,0,0,10,10,3,3,7,7,0,2,0,8,0,0,0,10,0,3,0,7,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0,5,0,25,0.0,1.6666666666666667,0.0,8.333333333333334
crabuhco,dqn,ai,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,0,1,0,9,0,0,0,10,0,0,0,10,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,0,1,0,29,0.0,0.3333333333333333,0.0,9.666666666666666
tohvfbig,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,3,7,0,0,4,6,0,0,3,7,0,0,30,30,0.0,0.0,10.0,10.0,0,0,10,20,0.0,0.0,3.3333333333333335,6.666666666666667
qlovtvwo,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
ldupfhgx,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
gyocsonb,ppo,ai,hawkdove,10,10,0,0,10,10,0,0,4,4,6,6,8,2,0,0,6,4,0,0,2,2,4,2,24,24,6,6,8.0,8.0,2.0,2.0,16,8,4,2,5.333333333333333,2.6666666666666665,1.3333333333333333,0.6666666666666666
pabfesqf,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,3,7,0,0,7,3,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
duhzjv,dqn,ai,hawkdove,8,8,2,2,3,3,7,7,2,2,8,8,0,8,0,2,0,3,0,7,0,2,0,8,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,0,13,0,17,0.0,4.333333333333333,0.0,5.666666666666667
iwyjrr,ppo,human,hawkdove,6,6,4,4,9,9,1,1,10,10,0,0,3,3,2,2,6,3,1,0,9,1,0,0,25,25,5,5,8.333333333333334,8.333333333333334,1.6666666666666667,1.6666666666666667,18,7,3,2,6.0,2.3333333333333335,1.0,0.6666666666666666
zegpgkts,dqn,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,30,30,0,0,10.0,10.0,0.0,0.0,0,30,0,0,0.0,10.0,0.0,0.0
ponkoj,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,4,6,0,0,2,8,0,0,30,30,0,0,10.0,10.0,0.0,0.0,12,18,0,0,4.0,6.0,0.0,0.0
ii,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
qloqebh,vpg,ai,hawkdove,10,10,0,0,3,3,7,7,0,0,10,10,6,4,0,0,2,1,1,6,0,0,6,4,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,8,5,7,10,2.6666666666666665,1.6666666666666667,2.3333333333333335,3.3333333333333335
ptrrfpju,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,3,7,0,0,7,3,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
dcuafzjw,vpg,ai,hawkdove,8,8,2,2,6,6,4,4,6,6,4,4,2,6,0,2,3,3,0,4,4,2,1,3,20,20,10,10,6.666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,9,11,1,9,3.0,3.6666666666666665,0.3333333333333333,3.0
yurvfqgs,ppo,human,hawkdove,0,0,10,10,1,1,9,9,0,0,10,10,0,0,10,0,1,0,7,2,0,0,5,5,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,1,0,22,7,0.3333333333333333,0.0,7.333333333333333,2.3333333333333335
sjvhxhsb,ppo,ai,hawkdove,6,6,4,4,9,9,1,1,9,9,1,1,4,2,4,0,4,5,0,1,5,4,1,0,24,24,6,6,8.0,8.0,2.0,2.0,13,11,5,1,4.333333333333333,3.6666666666666665,1.6666666666666667,0.3333333333333333
udakga,vpg,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,5,4,1,0,7,3,0,0,4,6,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,16,13,1,0,5.333333333333333,4.333333333333333,0.3333333333333333,0.0
gvtsmkn,vpg,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,3,7,0,0,5,5,0,0,30,30,0,0,10.0,10.0,0.0,0.0,13,17,0,0,4.333333333333333,5.666666666666667,0.0,0.0
pavgudyl,vpg,ai,hawkdove,5,5,5,5,0,0,10,10,0,0,10,10,2,3,2,3,0,0,2,8,0,0,6,4,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,2,3,10,15,0.6666666666666666,1.0,3.3333333333333335,5.0
fzblzuh,vpg,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,6,4,0,0,4,6,0,0,30,30,0,0,10.0,10.0,0.0,0.0,14,16,0,0,4.666666666666667,5.333333333333333,0.0,0.0
zqhg,ppo,human,hawkdove,5,5,5,5,0,0,10,10,0,0,10,10,0,5,4,1,0,0,7,3,0,0,5,5,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0,5,16,9,0.0,1.6666666666666667,5.333333333333333,3.0
pfqysmgn,ppo,human,hawkdove,4,4,6,6,0,0,10,10,1,1,9,9,2,2,5,1,0,0,5,5,1,0,2,7,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,3,2,12,13,1.0,0.6666666666666666,4.0,4.333333333333333
ngjbfkfr,ppo,ai,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,3,7,0,0,6,4,0,0,30,30,0,0,10.0,10.0,0.0,0.0,14,16,0,0,4.666666666666667,5.333333333333333,0.0,0.0
vritnlim,ppo,ai,hawkdove,2,2,8,8,6,6,4,4,4,4,6,6,0,2,4,4,3,3,3,1,2,2,3,3,12,12,18,18,4.0,4.0,6.0,6.0,5,7,10,8,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.6666666666666665
ymofrpdp,ppo,human,hawkdove,2,2,8,8,0,0,10,10,0,0,10,10,0,2,6,2,0,0,2,8,0,0,3,7,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,0,2,11,17,0.0,0.6666666666666666,3.6666666666666665,5.666666666666667
epfqvigb,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,4,6,0,0,7,3,0,0,30,30,0,0,10.0,10.0,0.0,0.0,17,13,0,0,5.666666666666667,4.333333333333333,0.0,0.0
tplapwqe,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,4,6,0,0,3,7,0,0,30,30,0.0,0.0,10.0,10.0,0,0,11,19,0.0,0.0,3.6666666666666665,6.333333333333333
gtcgpf,ppo,ai,hawkdove,2,2,8,8,0,0,10,10,0,0,10,10,1,1,6,2,0,0,5,5,0,0,5,5,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,1,1,16,12,0.3333333333333333,0.3333333333333333,5.333333333333333,4.0
